	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	25	17	15	0.43859649122807015	0.2631578947368421	0.2982456140350877
2018-07-07	34	10	4	0.7083333333333334	0.08333333333333333	0.20833333333333334
2018-07-08	19033	4968	5994	0.6345390898483081	0.19983330555092516	0.16562760460076678
2018-07-09	20645	5352	6110	0.6430061980253527	0.19030118042794406	0.16669262154670322
2018-07-10	21912	6861	6409	0.6228184867261668	0.18216701722471718	0.19501449604911603
2018-07-11	21248	5702	5305	0.658750581305224	0.1644706247093474	0.17677879398542862
2018-07-12	22005	6351	5984	0.6407979033197437	0.17425742574257425	0.184944670937682
2018-07-13	9295	3701	2728	0.5911345713558891	0.17349274993640296	0.23537267870770795
2018-07-14	960	379	275	0.5947955390334573	0.17038413878562578	0.23482032218091697
2018-07-15	315	115	86	0.6104651162790697	0.16666666666666666	0.22286821705426357
2018-07-16	10978	3553	4998	0.5621383583388806	0.25592708279993853	0.18193455886118082
2018-07-17	1872	632	864	0.5558194774346793	0.25653206650831356	0.1876484560570071
