	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	12.0	12.0	12.0	12.0	12.0	12.0
mean	10693.5	3136.75	3231.0	0.6050995955190145	0.19004362386855259	0.20485678061243284
std	9739.95323397397	2731.195812859601	2800.4238640216267	0.067254618965586	0.05023776400832163	0.0381214903736236
min	25.0	10.0	4.0	0.43859649122807015	0.08333333333333333	0.16562760460076678
25%	798.75	313.0	227.75	0.5838855181016369	0.169454770755886	0.18064561764224277
50%	10136.5	3627.0	3863.0	0.6166418015026183	0.1782122214836457	0.19133147605306156
75%	20795.75	5439.5	5986.5	0.6413499769961459	0.21385674986317849	0.22585624333592694
max	22005.0	6861.0	6409.0	0.7083333333333334	0.2631578947368421	0.2982456140350877
