	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	25.0	25.0	25.0	25.0	25.0	25.0
mean	10700.32	3280.76	3644.4	0.599316526653479	0.20574431148621236	0.1949391618603085
std	6832.561834822036	2037.3289965049828	2081.3989085868825	0.04857815795463689	0.038611123755976445	0.03291552697529587
min	27.0	11.0	5.0	0.45	0.09615384615384616	0.14184903266730098
25%	8154.0	2331.0	2735.0	0.5709006565239612	0.18209455619956813	0.17390969925390354
50%	10158.0	3071.0	3843.0	0.6040990959906148	0.20839135436217232	0.18819708297585488
75%	14522.0	4923.0	5306.0	0.6343824860260846	0.23497372193024366	0.20950507681675615
max	22010.0	6866.0	6409.0	0.6923076923076923	0.2844559585492228	0.3
