	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	6.0	6.0	6.0	6.0	6.0	6.0
mean	11110.333333333334	3125.1666666666665	3305.0	0.607458276784994	0.18487947201819996	0.20766225119680604
std	10441.236836058584	2951.2495940985177	3161.9507902559144	0.12021765932943763	0.06766807192487215	0.06305775461704918
min	18.0	7.0	3.0	0.375	0.08108108108108109	0.16542663717407333
25%	1343.25	417.75	348.5	0.6255990869573677	0.16828605448168515	0.17237146737318498
50%	12116.0	3279.5	3657.0	0.6374482606867374	0.18658748591561064	0.1920626238250125
75%	20167.0	5239.0	6069.25	0.6419676005910706	0.1975232728737933	0.19597606130687462
max	21809.0	6829.0	6394.0	0.7297297297297297	0.2916666666666667	0.3333333333333333
