	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	19.0	19.0	19.0	19.0	19.0	19.0
mean	2997.3684210526317	977.2105263157895	704.8947368421053	0.6350135515628963	0.16102893841900545	0.20395751001809825
std	2022.4317104396414	669.8613105998857	453.8135807596235	0.034331841028162585	0.04491306593208826	0.02152330329850933
min	22.0	6.0	5.0	0.5238095238095238	0.11627906976744186	0.14285714285714285
25%	1404.5	419.0	346.0	0.6222804319634598	0.14513458092087123	0.19659165066667855
50%	3105.0	987.0	780.0	0.632446134347275	0.1531265386509109	0.20586917562724014
75%	4710.0	1627.0	1118.0	0.6561548757354412	0.16083946317946532	0.21258365267782037
max	5801.0	1993.0	1321.0	0.6744186046511628	0.3333333333333333	0.23896103896103896
