	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	19.0	19.0	19.0	19.0	19.0	19.0
mean	10361.78947368421	3009.0526315789475	3342.9473684210525	0.608637648271231	0.19998610964416877	0.1913762420846002
std	7831.059482591295	2222.6392588213234	2308.002803620582	0.04952489860899701	0.038146781425690224	0.03689655116799487
min	27.0	11.0	5.0	0.45	0.09615384615384616	0.1417122907244307
25%	4599.0	1085.0	1530.5	0.5932328171692476	0.1739071429033579	0.17034232340920374
50%	9310.0	2916.0	3390.0	0.6149373069234962	0.19981353844104818	0.18177655677655677
75%	17399.5	4751.5	5517.5	0.6375689933099833	0.22868255871222568	0.20331981044643013
max	22009.0	6866.0	6409.0	0.6923076923076923	0.2566137566137566	0.3
