	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	27	18	15	0.45	0.25	0.3
2018-07-07	36	11	5	0.6923076923076923	0.09615384615384616	0.21153846153846154
2018-07-08	19051	4981	6001	0.6343355642126993	0.19981353844104818	0.16585089734625247
2018-07-09	20653	5356	6110	0.6430150378280768	0.19023008188299761	0.16675488028892554
2018-07-10	21917	6866	6409	0.6227835871789043	0.18211525346669696	0.19510115935439873
2018-07-11	21252	5706	5306	0.6586908008926358	0.16445574014381353	0.1768534589635507
2018-07-12	22009	6353	5984	0.6408024224072673	0.1742269842194142	0.1849705933733186
2018-07-13	9310	3706	2734	0.5911111111111111	0.1735873015873016	0.2353015873015873
2018-07-14	974	384	278	0.5953545232273839	0.16992665036674817	0.23471882640586797
2018-07-15	332	123	95	0.6036363636363636	0.17272727272727273	0.22363636363636363
2018-07-16	11039	3573	5044	0.5616096866096866	0.2566137566137566	0.18177655677655677
2018-07-17	15748	4522	5729	0.6057156044463249	0.22035462902419323	0.17392976652948192
2018-07-18	8149	1786	2668	0.6465920812504959	0.21169562802507338	0.1417122907244307
2018-07-19	8634	2455	2741	0.6242950108459869	0.19819233550253074	0.17751265365148228
2018-07-20	10152	2916	3441	0.6149373069234962	0.20843176449209522	0.17663092858440851
2018-07-21	8526	2790	3300	0.5833333333333334	0.2257799671592775	0.19088669950738915
2018-07-22	9360	3068	3873	0.5741979019692044	0.23759278571866757	0.1882093123121281
2018-07-23	8656	2303	3390	0.6032476130740818	0.2362533974492996	0.1604989894766186
2018-07-24	1049	255	393	0.6181496758986447	0.23158515026517384	0.1502651738361815
