	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	21.0	21.0	21.0	21.0	21.0	21.0
mean	2009.7142857142858	624.8095238095239	1031.3333333333333	0.5556348310504403	0.2711075221300663	0.17325764681949338
std	1214.6690966208512	376.85429797835917	654.654438107108	0.02466014398471082	0.02822423048612429	0.014524040503852163
min	49.0	15.0	21.0	0.4992134242265338	0.22666666666666666	0.15645933014354066
25%	1196.0	426.0	520.0	0.5405779546634366	0.2481170647729718	0.16519882572724848
50%	2414.0	681.0	1153.0	0.5533333333333333	0.27120277563608325	0.17182903616542655
75%	2728.0	837.0	1407.0	0.5717667312244459	0.2875930091711369	0.17547169811320754
max	4525.0	1394.0	2374.0	0.6112026359143328	0.3274777136864185	0.22
