	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	1.0	1.0	1.0	1.0	1.0	1.0
mean	607.0	201.0	356.0	0.5214776632302406	0.30584192439862545	0.17268041237113402
std						
min	607.0	201.0	356.0	0.5214776632302406	0.30584192439862545	0.17268041237113402
25%	607.0	201.0	356.0	0.5214776632302406	0.30584192439862545	0.17268041237113402
50%	607.0	201.0	356.0	0.5214776632302406	0.30584192439862545	0.17268041237113402
75%	607.0	201.0	356.0	0.5214776632302406	0.30584192439862545	0.17268041237113402
max	607.0	201.0	356.0	0.5214776632302406	0.30584192439862545	0.17268041237113402
