	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
2018-07-06	22	56	18	0.5833333333333334	0.2277825711820535	0.18592906229645537
2018-07-07	39	95	38	0.5523255813953488	0.22601839684625494	0.21993497058164554
2018-07-08	8126	8883	3253	0.4384068700029612	0.40103761634359225	0.1605401853433312
2018-07-09	6340	8216	10355	0.3298141383324636	0.2545026719690314	0.4156700701292796
2018-07-10	9455	9971	5000	0.4082125603864734	0.3870810606996289	0.20469324526192434
2018-07-11	8702	9832	3393	0.4483969535276144	0.3968542003824305	0.15473476582572335
2018-07-12	6167	9464	2250	0.5292768860801969	0.34488101685863926	0.1258257372874759
2018-07-13	3410	4708	2228	0.455055093756041	0.3295814829177837	0.21533259638205376
2018-07-14	1178	1106	392	0.4133034379671151	0.4401412885247614	0.14644059082586522
2018-07-15	543	1069	300	0.5591004184100419	0.2839127951032771	0.15683461628981768
2018-07-16	5515	8365	2039	0.525472705571958	0.34642992402352735	0.12807892001085788
2018-07-17	6416	8622	2593	0.4890250127616131	0.3638943932017311	0.14706338646609815
2018-07-18	8008	8553	2338	0.4525636277051696	0.4237159765892649	0.12370451347996603
2018-07-19	3030	6867	1334	0.6114326417950317	0.2697742900180897	0.11876906240574508
2018-07-20	6136	9093	2745	0.5058974073661956	0.34137238792667196	0.15271339771618886
2018-07-21	8259	8267	2789	0.42800931918198293	0.42758565826319	0.14438915150749015
2018-07-22	6646	9130	2951	0.4875313718160944	0.3548794246354076	0.15757287653695615
2018-07-23	6037	9150	3261	0.4959887250650477	0.3272353477318453	0.17675924151871705
2018-07-24	10897	14929	4782	0.48774830109775225	0.3560123613295737	0.1562293576781781
2018-07-25	6502	7996	1795	0.4907629043147364	0.3990550640506834	0.11016399521865755
2018-07-26	6602	8969	3214	0.47745541655576257	0.3514416929603456	0.17108640867555874
2018-07-27	8278	8216	4684	0.38794975918405894	0.39087016536091584	0.2211647819653035
2018-07-28	10822	9874	3602	0.4063708947238456	0.44537900283711107	0.14823745735290494
2018-07-29	8577	8866	2299	0.44909330361665484	0.4344445797714736	0.11644702232014853
2018-07-30	13328	21254	4603	0.542401429118285	0.3401254438043435	0.1174657734668436
2018-07-31	7596	20417	4110	0.6355882078261682	0.23646140484760056	0.12794223540837305
2018-08-01	6143	14040	4172	0.5764730034900432	0.25222149871135674	0.17129369943966383
2018-08-02	6774	11112	3786	0.512735326688815	0.31256181886829515	0.17468880720865865
2018-08-03	1243	1532	566	0.45854534570487876	0.37199324281049856	0.16936825295727315
