	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	22.0	22.0	22.0	22.0	22.0	22.0
mean	2074.0454545454545	671.6818181818181	1053.0454545454545	0.5513042717202624	0.2680585336571603	0.1806371946225773
std	1193.5393734312815	395.7429885506665	636.8053060673237	0.024915137704037697	0.030766137580916623	0.028478000172723086
min	49.0	15.0	21.0	0.4992134242265338	0.2104779411764706	0.15645933014354066
25%	1345.5	453.25	584.0	0.5388690783945895	0.247337128399747	0.165554988691653
50%	2431.0	708.5	1164.0	0.5478897279568864	0.26956501326322213	0.17206588684277768
75%	2797.5	908.25	1406.0	0.569668881988336	0.2872266358707596	0.17911764705882355
max	4528.0	1440.0	2374.0	0.6112026359143328	0.3274777136864185	0.2702205882352941
