	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	24	17	15	0.42857142857142855	0.26785714285714285	0.30357142857142855
2018-07-07	33	10	4	0.7021276595744681	0.0851063829787234	0.2127659574468085
2018-07-08	19019	4967	5987	0.6345377506422447	0.19974643846128182	0.1657158108964735
2018-07-09	20641	5351	6110	0.642981745685627	0.19033082050962558	0.16668743380474738
2018-07-10	21912	6860	6409	0.6228361899889144	0.18217219521901026	0.19499161479207527
2018-07-11	21245	5700	5305	0.6587596899224806	0.16449612403100775	0.17674418604651163
2018-07-12	22002	6351	5984	0.6407665200803798	0.1742726504936366	0.18496082942598363
2018-07-13	9262	3690	2724	0.5908394998724165	0.17376881857616738	0.23539168155141618
2018-07-14	164	70	51	0.5754385964912281	0.17894736842105263	0.24561403508771928
