	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	9.0	9.0	9.0	9.0	9.0	9.0
mean	12700.222222222223	3668.4444444444443	3621.0	0.6107621200921319	0.17963310461640536	0.20960477529146265
std	10231.687419211185	2865.5958852876965	2907.341569200289	0.07757171743883194	0.046820053217589135	0.04537370187656805
min	24.0	10.0	4.0	0.42857142857142855	0.0851063829787234	0.1657158108964735
25%	164.0	70.0	51.0	0.5908394998724165	0.17376881857616738	0.17674418604651163
50%	19019.0	4967.0	5305.0	0.6345377506422447	0.17894736842105263	0.19499161479207527
75%	21245.0	5700.0	5987.0	0.642981745685627	0.19033082050962558	0.23539168155141618
max	22002.0	6860.0	6409.0	0.7021276595744681	0.26785714285714285	0.30357142857142855
