	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	22	6	14	0.5238095238095238	0.3333333333333333	0.14285714285714285
2018-07-07	29	9	5	0.6744186046511628	0.11627906976744186	0.20930232558139536
2018-07-08	5152	1994	1247	0.6138448707256047	0.14857619444775408	0.23757893482664125
2018-07-09	5038	1653	1111	0.6457318636247116	0.1423993847731351	0.2118687516021533
2018-07-10	5769	1838	1321	0.6461693548387096	0.14796146953405018	0.20586917562724014
2018-07-11	5710	1657	1179	0.6681488415633045	0.137959279194945	0.19389187924175053
2018-07-12	5801	1829	1134	0.6619123687813784	0.12939297124600638	0.20869465997261524
2018-07-13	2563	877	623	0.6308146689638199	0.15333497415702682	0.21585035687915333
2018-07-14	398	101	92	0.6734348561759729	0.155668358714044	0.17089678510998307
2018-07-15	237	92	58	0.6124031007751938	0.14987080103359174	0.23772609819121446
2018-07-16	3465	1070	981	0.6281725888324873	0.17784626540971718	0.19398114575779551
2018-07-17	4384	1601	1126	0.6165096329630151	0.1583462241597525	0.22514414287723244
2018-07-18	2414	724	609	0.6442487323191887	0.16253002401921537	0.19322124366159593
2018-07-19	3191	955	599	0.6724973656480506	0.1262381454162276	0.20126448893572182
2018-07-20	3439	1052	796	0.6504634007944013	0.15055797238509552	0.19897862682050313
2018-07-21	3110	1055	783	0.6285367825383994	0.1582457558609539	0.21321746160064672
2018-07-22	2915	963	877	0.6130389064143007	0.18443743427970558	0.2025236593059937
2018-07-23	3072	1013	766	0.6332714904143476	0.15790558647701505	0.2088229231086374
2018-07-24	5047	1822	1237	0.6226252158894646	0.15260301011596347	0.22477177399457193
2018-07-25	3551	1103	823	0.6483476355669162	0.15026474347270405	0.20138762096037977
2018-07-26	283	122	87	0.5752032520325203	0.17682926829268292	0.24796747967479674
