	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	48	15	17	0.6	0.2125	0.1875
2018-07-07	80	32	32	0.5555555555555556	0.2222222222222222	0.2222222222222222
2018-07-08	2060	619	1067	0.5499199145755472	0.28483715963694606	0.16524292578750668
2018-07-09	2078	641	1138	0.5387606948405497	0.2950479647394348	0.16619134042001554
2018-07-10	3386	980	1903	0.5401180411548892	0.30355718615409155	0.1563247726910193
2018-07-11	3124	993	1661	0.5406715126341295	0.2874697127033576	0.17185877466251298
2018-07-12	2445	728	1423	0.5319843342036553	0.30961705831157527	0.15839860748476936
2018-07-13	1186	424	515	0.5581176470588235	0.24235294117647058	0.19952941176470587
2018-07-14	327	85	130	0.6033210332103321	0.23985239852398524	0.15682656826568267
2018-07-15	199	52	82	0.5975975975975976	0.24624624624624625	0.15615615615615616
2018-07-16	534	196	348	0.49536178107606677	0.3228200371057514	0.18181818181818182
