	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	11.0	11.0	11.0	11.0	11.0	11.0
mean	5025.363636363636	2512.181818181818	4110.363636363636	0.480282152810065	0.3270646051783684	0.19265324201156658
std	4283.083591823239	3087.9086715180492	3724.975577711276	0.0851609843575719	0.08083238268117214	0.08204739837929718
min	55.0	18.0	17.0	0.32984061985627683	0.18888888888888888	0.12584596453940378
25%	850.0	270.5	745.0	0.42330421267555635	0.2704369970522489	0.14435794895687737
50%	4696.0	2225.0	3404.0	0.454818401937046	0.33438985736925514	0.1605547603770791
75%	9172.0	3323.0	7233.0	0.5432378780432586	0.39196909283865494	0.21008185853318828
max	9971.0	10353.0	9455.0	0.6111111111111112	0.4483288513253938	0.4156329037697218
