	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	20.0	20.0	20.0	20.0	20.0	20.0
mean	1904.9	597.55	988.45	0.5528976309212764	0.273996184668803	0.1731061844099206
std	1131.1500854393612	354.70795622670533	613.5229996117763	0.023504822592983518	0.027665616887560345	0.015025171609140353
min	49.0	15.0	21.0	0.4992134242265338	0.22666666666666666	0.15645933014354066
25%	989.5	343.5	425.75	0.5400185929545709	0.24913948360688162	0.16470587351682472
50%	2246.0	694.5	1162.0	0.5516866826794768	0.27831805683819477	0.1716614413468926
75%	2745.0	859.25	1408.0	0.5689459828480512	0.29014167308056765	0.17552233659421215
max	3386.0	993.0	1903.0	0.6105610561056105	0.3274777136864185	0.22
