	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	13.0	13.0	13.0	13.0	13.0	13.0
mean	5522.0	2484.3076923076924	4418.307692307692	0.47499815210278723	0.33987536957670267	0.18512647832051007
std	4122.601241934514	2815.8525465838165	3436.5116126826288	0.07690255723468678	0.07807913789045312	0.07654513470326688
min	56.0	18.0	18.0	0.3298273785628262	0.1956521739130435	0.12583188859683464
25%	1098.0	391.0	1178.0	0.4224980195405334	0.2842879663688912	0.14660667416572928
50%	8216.0	2228.0	5419.0	0.45479160622763753	0.3458641817717641	0.15606936416184972
75%	8882.0	3253.0	6378.0	0.5292768860801969	0.39683480799051357	0.20466734902763561
max	9971.0	10354.0	9455.0	0.6086956521739131	0.44169478815148105	0.4156563629064633
