	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
count	7.0	7.0	7.0	7.0	7.0	7.0
mean	1064.142857142857	4579.571428571428	1294.0	0.6607625422641551	0.152425377270357	0.18675237696635713
std	438.1337043154097	1824.3798815983894	511.38178823002033	0.01614724449338136	0.014577475057316018	0.011206290572068855
min	162.0	745.0	207.0	0.6372385931558935	0.13501208910775583	0.17415040707947438
25%	1011.5	4464.0	1310.0	0.6488554287693475	0.14529527796681335	0.18037403525944443
50%	1136.0	5241.0	1365.0	0.6664602683178534	0.1476678622535501	0.18584609880939137
75%	1330.5	5342.5	1532.5	0.6716827084950476	0.15970474723974923	0.18939227732856212
max	1467.0	6458.0	1801.0	0.6805626598465473	0.17429763911806773	0.20773750769962115
