	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
count	7.0	7.0	7.0	7.0	7.0	7.0
mean	3757.8571428571427	13289.0	3944.1428571428573	0.6432559836708904	0.17719334821385033	0.17953409030396258
std	1473.9932641830976	5077.569694253344	1797.5864771568413	0.057612189149515984	0.027084986179592076	0.03765067762425657
min	685.0	3318.0	554.0	0.5500486302480143	0.15029417801536257	0.12154777964663445
25%	3762.0	12969.5	3511.5	0.6172948775105147	0.1546536567182089	0.15390996058135328
50%	3997.0	13436.0	4121.0	0.6522478088446029	0.16751509149464805	0.19539320947093888
75%	4353.0	15379.0	4993.0	0.6688975462521227	0.197344643270367	0.20029299949559032
max	5393.0	19572.0	5925.0	0.728110599078341	0.21854756800978975	0.23139172285627754
