	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
count	7.0	7.0	7.0	7.0	7.0	7.0
mean	1711.4285714285713	3772.714285714286	1516.0	0.5393926926654873	0.24685112806117893	0.21368459979682664
std	758.1820047857589	1594.9645465532783	736.4081748595679	0.01878091175005439	0.02440668823416915	0.0225120681171015
min	295.0	599.0	238.0	0.5126715945089757	0.20272388186155688	0.17166825027239094
25%	1665.5	3608.5	1249.0	0.5270741913582826	0.2369097830966077	0.203692308978693
50%	1730.0	3896.0	1605.0	0.5400734169470787	0.2537724303135787	0.22554099084580406
75%	1870.0	4435.5	1808.5	0.5503553745233882	0.2615378960274199	0.22883478162787046
max	2884.0	5826.0	2654.0	0.5681447054390152	0.2745662260050618	0.23352877624646443
