	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
count	7.0	7.0	7.0	7.0	7.0	7.0
mean	7049.714285714285	11869.285714285714	3685.4285714285716	0.5272265202347582	0.3127636240254988	0.15998913262818076
std	2997.749695704302	4928.798491663923	1641.4888421940673	0.03402847751013425	0.03734916040004994	0.011791921253559974
min	1245.0	2172.0	579.0	0.47800256904303146	0.25203023077364706	0.1432183289046815
25%	6440.0	10903.5	3264.0	0.5083737174234971	0.295501379694446	0.15307309997018903
50%	7437.0	11908.0	4018.0	0.5169354838709678	0.3188726358358492	0.16195138769033923
75%	8453.5	14961.5	4386.0	0.5510491437769939	0.33336848253943585	0.16766684910774293
max	10879.0	17275.0	5901.0	0.5768018663283264	0.3607027771012317	0.17327431364638043
