	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
2018-08-01	1932	3896	1208	0.5537237066515065	0.2745662260050618	0.17166825027239094
2018-08-02	2884	5826	2654	0.5126715945089757	0.2537724303135787	0.23352877624646443
2018-08-03	1808	4348	1793	0.5469870423952699	0.22743434348485572	0.22554099084580406
2018-08-04	1614	4523	1824	0.5681447054390152	0.20272388186155688	0.2290947617189644
2018-08-05	1730	3686	1605	0.5249964392536676	0.2463852227083597	0.22857480153677653
2018-08-06	1717	3531	1290	0.5400734169470787	0.2625968458892874	0.19728382473853529
2018-08-07	295	599	238	0.5291519434628975	0.2604789461655524	0.2101007932188507
