	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	19.0	19.0	19.0	19.0	19.0	19.0
mean	25.94736842105263	2.736842105263158	2.3157894736842106	0.8794249347601905	0.06019330116838202	0.060381764071427584
std	35.19228716669878	3.2802795487776124	3.18071675323778	0.11121956297575103	0.07810075419945892	0.07226713283779385
min	1.0	0.0	0.0	0.6666666666666666	0.0	0.0
25%	2.0	0.0	0.0	0.7965517241379311	0.0	0.0
50%	15.0	2.0	2.0	0.8666666666666667	0.0392156862745098	0.04516129032258064
75%	35.5	4.5	3.0	1.0	0.07614942528735633	0.09707602339181287
max	143.0	11.0	12.0	1.0	0.25	0.21568627450980393
