	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	15.0	15.0	15.0	15.0	15.0	15.0
mean	1667.3333333333333	516.8	890.0666666666667	0.5528269828710052	0.2743305206866115	0.17284249644238323
std	1101.2887039844773	335.4106651341222	628.0321268700768	0.025866478023014103	0.030934740211250467	0.016036705907422046
min	49.0	15.0	20.0	0.4992134242265338	0.22972972972972974	0.1563247726910193
25%	736.5	225.5	327.5	0.5393695441647955	0.2470244707042365	0.1629396775139078
50%	1904.0	619.0	1067.0	0.5540540540540541	0.27818477818477816	0.1679023113824684
75%	2430.0	749.0	1385.0	0.5659197022851641	0.2992643369858068	0.17594014532923813
max	3386.0	993.0	1903.0	0.6066666666666667	0.3274777136864185	0.21621621621621623
