	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	49	15	21	0.5764705882352941	0.24705882352941178	0.17647058823529413
2018-07-07	83	32	34	0.5570469798657718	0.22818791946308725	0.21476510067114093
2018-07-08	2061	619	1067	0.5500400320256205	0.28476114224713106	0.16519882572724848
2018-07-09	2078	642	1138	0.5386210471747019	0.294971487817522	0.16640746500777606
2018-07-10	3386	981	1903	0.5400318979266348	0.30350877192982456	0.15645933014354066
2018-07-11	3124	993	1661	0.5406715126341295	0.2874697127033576	0.17185877466251298
2018-07-12	2447	728	1423	0.5321879077859939	0.3094823836450631	0.15832970856894302
2018-07-13	1196	426	520	0.5583566760037348	0.24276377217553688	0.19887955182072828
2018-07-14	370	96	140	0.6105610561056105	0.23102310231023102	0.15841584158415842
2018-07-15	303	86	143	0.5695488721804511	0.26879699248120303	0.16165413533834586
2018-07-16	1904	661	1249	0.4992134242265338	0.3274777136864185	0.1733088620870477
2018-07-17	2414	771	1403	0.52615518744551	0.30579773321708803	0.16804707933740193
2018-07-18	2727	823	1370	0.5542682926829269	0.2784552845528455	0.16727642276422763
2018-07-19	1792	534	774	0.5780645161290323	0.2496774193548387	0.17225806451612904
2018-07-20	2625	806	1171	0.5704041720990873	0.25445458496305956	0.1751412429378531
2018-07-21	2651	835	1150	0.5718291630716135	0.24805867126833478	0.18011216566005178
2018-07-22	2829	911	1479	0.5420578654914735	0.28338762214983715	0.1745545123586894
2018-07-23	405	159	226	0.5126582278481012	0.28607594936708863	0.20126582278481012
