	Positivos	Negativos	Neutros	%Negativos	%Positivos	%Neutros
count	29.0	29.0	29.0	29.0	29.0	29.0
mean	3767.206896551724	11166.827586206897	3413.103448275862	0.6031575952962861	0.20367999251919902	0.19279687685657795
std	2018.3565163502697	6453.44648822276	1951.1858911373356	0.045405943877334196	0.03706234620397712	0.029719105773988674
min	6.0	29.0	11.0	0.4603174603174603	0.11177504393673111	0.14182813684218637
25%	2742.0	8535.0	2341.0	0.5743611740915497	0.17420344593288806	0.17392925411417115
50%	3875.0	11041.0	3573.0	0.6054054054054054	0.1997828909118285	0.18817618955958593
75%	5306.0	14524.0	4932.0	0.6408151382823872	0.23002537582552263	0.2052964597559966
max	6409.0	22012.0	6867.0	0.6792452830188679	0.2845191766601154	0.2825193793329157
