	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	19.0	19.0	19.0	19.0	19.0	19.0
mean	175.05263157894737	77.94736842105263	79.47368421052632	0.4552411045725405	0.32369505706735324	0.22106383836010626
std	273.9745474155929	103.54734487942676	99.06696299924984	0.24627959256733772	0.1772132661126695	0.16558058509803764
min	0.0	0.0	1.0	0.0	0.06666666666666667	0.0
25%	2.0	1.0	1.5	0.3167348130841121	0.23403001818257108	0.15534979423868311
50%	31.0	22.0	42.0	0.5111111111111111	0.32	0.205607476635514
75%	214.0	147.5	124.0	0.6666666666666666	0.353515625	0.3079427083333333
max	989.0	290.0	303.0	0.75	0.6666666666666666	0.6666666666666666
