	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	25.0	25.0	25.0	25.0	25.0	25.0
mean	2115.52	753.4	1083.28	0.5418882160221434	0.26921242823044245	0.18889935574741418
std	1140.4797645435597	473.0844709633435	606.0729136553346	0.03637069632274016	0.027698334633526202	0.03880524747039564
min	49.0	15.0	21.0	0.43696791093647674	0.2251655629139073	0.15645933014354066
25%	1797.0	535.0	778.0	0.5261437908496732	0.24705882352941178	0.16662347758486654
50%	2430.0	771.0	1174.0	0.5430603613994618	0.2706651287966167	0.1733088620870477
75%	2730.0	981.0	1411.0	0.5684803001876173	0.2859896398024334	0.19869402985074627
max	4530.0	1994.0	2374.0	0.6112026359143328	0.3274777136864185	0.32645710543549444
