	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	25.0	25.0	25.0	25.0	25.0	25.0
mean	7286.88	2718.88	5882.8	0.4775583153785618	0.35626067115397964	0.16618101346745845
std	3679.892019702028	2132.404888852021	3252.215245029148	0.06491657191374643	0.06361319674136018	0.06222813934707398
min	56.0	18.0	22.0	0.3298141383324636	0.22674418604651161	0.09371643394199786
25%	6867.0	1794.0	3410.0	0.4384068700029612	0.32959597912236616	0.12808593504617125
50%	8552.0	2593.0	6416.0	0.4875834445927904	0.35604129909168136	0.15474073060610208
75%	9130.0	3260.0	8257.0	0.525472705571958	0.39906679764243613	0.17675124701800043
max	14927.0	10355.0	10897.0	0.6114326417950317	0.4455384361868666	0.4156798201597688
