	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	1.0	1.0	1.0	1.0	1.0	1.0
mean	736.0	254.0	203.0	0.6169321039396479	0.17015926236378875	0.2129086336965633
std						
min	736.0	254.0	203.0	0.6169321039396479	0.17015926236378875	0.2129086336965633
25%	736.0	254.0	203.0	0.6169321039396479	0.17015926236378875	0.2129086336965633
50%	736.0	254.0	203.0	0.6169321039396479	0.17015926236378875	0.2129086336965633
75%	736.0	254.0	203.0	0.6169321039396479	0.17015926236378875	0.2129086336965633
max	736.0	254.0	203.0	0.6169321039396479	0.17015926236378875	0.2129086336965633
