	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	7.0	7.0	7.0	7.0	7.0	7.0
mean	3273.285714285714	1072.2857142857142	732.0	0.6254127281091294	0.17661740613822086	0.1979698657526497
std	2665.735777997369	889.8334515113328	600.7534158593413	0.08501374341663667	0.1044520784889113	0.02737557505332594
min	15.0	5.0	4.0	0.4411764705882353	0.1111111111111111	0.14705882352941177
25%	715.0	207.0	149.5	0.6293619425656565	0.13711387422015195	0.19426561754887933
50%	4989.0	1641.0	1110.0	0.6463592505329294	0.14337380521828985	0.1945004148393979
75%	5359.0	1737.0	1195.0	0.6685925230334919	0.1479222361577442	0.2088246676163446
max	5761.0	1972.0	1321.0	0.6944444444444444	0.4117647058823529	0.2380492515692902
