	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	7.0	7.0	7.0	7.0	7.0	7.0
mean	12662.285714285714	3480.5714285714284	3607.714285714286	0.6174295601177934	0.18260249526754269	0.199967944614664
std	10212.32958591861	2883.935612847072	2974.198027159911	0.10656801437662418	0.05918631480249383	0.05764639485312312
min	20.0	9.0	4.0	0.38461538461538464	0.08888888888888889	0.16563596857763663
25%	2974.5	756.0	733.5	0.6287925730241523	0.16422159496044603	0.16769960162225134
50%	18988.0	4955.0	5293.0	0.6426877963563763	0.18221881041737745	0.1768895800933126
75%	20886.0	5516.0	6040.5	0.6630037413466883	0.19510251959205105	0.19746389173205958
max	21907.0	6856.0	6409.0	0.7111111111111111	0.28846153846153844	0.3269230769230769
