	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	20	17	15	0.38461538461538464	0.28846153846153844	0.3269230769230769
2018-07-07	32	9	4	0.7111111111111111	0.08888888888888889	0.2
2018-07-08	18988	4955	5972	0.6347317399298011	0.19963229149256226	0.16563596857763663
2018-07-09	20602	5345	6109	0.6426877963563763	0.1905727476915398	0.16673945595208386
2018-07-10	21907	6856	6409	0.6228534061185034	0.18221881041737745	0.19492778346411918
2018-07-11	21170	5687	5293	0.6584758942457232	0.16463452566096423	0.1768895800933126
2018-07-12	5917	1495	1452	0.6675315884476535	0.1638086642599278	0.16865974729241878
