	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	20.0	20.0	20.0	20.0	20.0	20.0
mean	3022.05	987.35	709.55	0.6381787752914785	0.15848188728645834	0.20333933742206298
std	1970.4579076421485	655.2570628547644	444.55459377010743	0.03620723024414996	0.044379916448250664	0.022193659714797552
min	22.0	6.0	5.0	0.5238095238095238	0.11627906976744186	0.14285714285714285
25%	1909.0	568.25	471.5	0.625192799843924	0.1412069073516141	0.19398520915767245
50%	3149.5	1028.0	788.5	0.638833526525747	0.1505375419282704	0.20717046821229118
75%	4546.75	1614.0	1114.0	0.6635281381552903	0.15824476386644598	0.21373398311013833
max	5801.0	1993.0	1321.0	0.697495183044316	0.3333333333333333	0.23896103896103896
