	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-06	27	18	15	0.45	0.25	0.3
2018-07-07	36	11	5	0.6923076923076923	0.09615384615384616	0.21153846153846154
2018-07-08	19054	4981	6001	0.6343720868291384	0.19979358103609002	0.1658343321347716
2018-07-09	20654	5356	6110	0.6430261519302615	0.1902241594022416	0.1667496886674969
2018-07-10	21917	6866	6409	0.6227835871789043	0.18211525346669696	0.19510115935439873
2018-07-11	21252	5706	5306	0.6586908008926358	0.16445574014381353	0.1768534589635507
2018-07-12	22009	6353	5984	0.6408024224072673	0.1742269842194142	0.1849705933733186
2018-07-13	9310	3706	2735	0.5910735826296744	0.17363976890356167	0.235286648466764
2018-07-14	974	384	278	0.5953545232273839	0.16992665036674817	0.23471882640586797
2018-07-15	332	123	95	0.6036363636363636	0.17272727272727273	0.22363636363636363
2018-07-16	11039	3573	5044	0.5616096866096866	0.2566137566137566	0.18177655677655677
2018-07-17	15749	4522	5729	0.6057307692307692	0.22034615384615386	0.17392307692307693
2018-07-18	8150	1787	2668	0.646568821896073	0.2116620388734629	0.1417691392304641
2018-07-19	8636	2457	2741	0.624259071851959	0.19813502963712593	0.17760589851091513
2018-07-20	10155	2916	3441	0.6150072674418605	0.2083938953488372	0.17659883720930233
2018-07-21	8529	2790	3302	0.5833390328978866	0.2258395458586964	0.190821421243417
2018-07-22	9366	3069	3875	0.5742489270386266	0.23758430410790926	0.18816676885346414
2018-07-23	8719	2322	3400	0.6037670521432034	0.23544075895021122	0.16079218890658542
2018-07-24	9312	3705	3163	0.5755253399258343	0.19548825710754017	0.22898640296662545
2018-07-25	989	297	291	0.6271401395053899	0.18452758402029168	0.18833227647431833
