	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	12.0	12.0	12.0	12.0	12.0	12.0
mean	5288.0	2465.5833333333335	4203.25	0.48511121804621204	0.32785922507812754	0.18702955687566045
std	4182.6998240588355	2948.8292425156037	3581.08929910744	0.0816576894415601	0.0748881704669482	0.0803130425475021
min	55.0	18.0	18.0	0.32984061985627683	0.1978021978021978	0.1208523592085236
25%	1085.25	365.5	926.75	0.43147132383871123	0.27718153985419763	0.14151062595321717
50%	6458.5	2102.5	4410.5	0.4912244587368608	0.3372903451757534	0.1576512741956544
75%	9027.5	3288.0	6786.5	0.5525952660888269	0.3895362352627256	0.20738461741066094
max	9971.0	10353.0	9455.0	0.6043956043956044	0.44269071777527247	0.4156329037697218
