	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	23.0	23.0	23.0	23.0	23.0	23.0
mean	384.30434782608694	104.04347826086956	127.82608695652173	0.5055894080697101	0.3091544873001339	0.18525610463015607
std	540.6898316698273	110.3175079902096	141.49418625188457	0.2466386285641631	0.17124583054295678	0.12694818506057343
min	0.0	0.0	1.0	0.0	0.11627906976744186	0.0
25%	3.0	1.5	2.0	0.37894570707070707	0.20201149425287357	0.12005010414907391
50%	157.0	64.0	101.0	0.6086434573829532	0.25252525252525254	0.1865671641791045
75%	529.0	171.0	179.0	0.6666666666666666	0.353515625	0.2650380726453261
max	1972.0	343.0	510.0	0.8	0.6666666666666666	0.5
