	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	23.0	23.0	23.0	23.0	23.0	23.0
mean	114.73913043478261	32.21739130434783	27.08695652173913	0.4892009170813236	0.25051659701330115	0.2602824859053752
std	131.50742025082718	38.05134870592527	34.490990975876926	0.3024013795744144	0.3073764801822613	0.30421858977624694
min	0.0	0.0	0.0	0.0	0.0	0.0
25%	1.0	1.0	1.0	0.2766599597585513	0.10730569114412916	0.14101077050538524
50%	67.0	12.0	16.0	0.625	0.1452991452991453	0.18122977346278318
75%	176.5	53.0	36.0	0.6858552631578947	0.23531411677753142	0.22004649499284692
max	488.0	137.0	128.0	0.788235294117647	1.0	1.0
