	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	22.0	22.0	22.0	22.0	22.0	22.0
mean	3132.409090909091	1034.1363636363637	750.4090909090909	0.6320322777221956	0.16201539380300647	0.2059523284747977
std	1891.4548358615111	633.3072898495827	424.2427044680584	0.03382946333421377	0.042317374385200994	0.020928926581643022
min	22.0	6.0	5.0	0.5238095238095238	0.11627906976744186	0.14285714285714285
25%	2452.0	763.0	601.5	0.6144703878763379	0.14814457370974143	0.1995500923493078
50%	3151.0	1032.5	809.5	0.6320533995828577	0.1530024235688328	0.2072699900598426
75%	4875.25	1640.0	1122.25	0.6497161002970503	0.16141904470358176	0.215181362324954
max	5801.0	1994.0	1321.0	0.6744186046511628	0.3333333333333333	0.23969072164948454
