	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
count	11.0	11.0	11.0	11.0	11.0	11.0
mean	2884.181818181818	938.8181818181819	643.6363636363636	0.6340005370712387	0.16479051731977754	0.20120894560898375
std	2597.260472812915	852.7315894443947	559.7782190702444	0.047971288800481515	0.06697591936502553	0.03343700594909371
min	20.0	5.0	4.0	0.5128205128205128	0.10526315789473684	0.1282051282051282
25%	256.0	76.0	61.0	0.622385632591518	0.14033308373639336	0.18799704481800306
50%	2540.0	872.0	615.0	0.6456915371773468	0.14844124700239808	0.20854271356783918
75%	5412.5	1739.5	1156.5	0.6650873863224275	0.15462844949445753	0.21415078054900322
max	5796.0	1981.0	1321.0	0.6842105263157895	0.358974358974359	0.25102880658436216
